,NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
292,LATAM AIRLINES GROUP,CL0000000423,2.44,6.42,5.63,4.52,4.0,12.77,26.47,29.63,53.76,63.57,41.16,84.7,144.21,136.31,129.28,73.0,56.71,27.54,50.38,89.47,63.87,45.57,9.29,2.02,0.71,1.19,1.54
293,INVERSIONES AGUAS METROPOLITANAS,CL0000001256,,,,,,,,,,,,,0.5,0.56,0.76,0.62,0.64,0.59,0.69,0.95,0.83,0.53,0.53,0.53,0.53,0.6,0.67
294,EMPRESAS CMPC,CL0000001314,,,,,,0.73,0.86,1.04,1.39,1.75,0.85,2.0,2.27,1.96,1.86,1.0,1.25,1.11,1.12,1.97,1.9,1.2,1.45,1.03,1.11,1.14,1.21
295,AES ANDES DEAD - DELIST.18/04/24,CL0002694637,3.65,4.19,4.53,3.41,1.39,3.93,4.36,4.79,11.62,13.11,10.56,16.44,17.49,23.0,27.73,19.93,23.38,20.28,16.59,16.77,18.12,12.5,14.54,14.73,15.18,11.41,11.41
296,BANCO ITAU CHILE,CL0002841873,,,,,,,,,,,,0.57,1.2,1.21,1.28,0.95,1.05,0.8,0.92,1.13,1.13,0.55,0.55,0.55,0.55,0.55,0.55
297,ANTAR CHILE,CLP0362E1386,,,,,,0.68,0.76,0.87,1.33,1.82,0.83,1.67,1.72,1.45,1.54,1.09,1.14,0.83,1.09,2.05,1.59,1.02,1.24,1.09,1.18,1.09,1.21
298,BANCO DE CHILE,CLP0939W1081,,,,,,,,0.54,0.65,0.79,0.57,1.01,1.6,1.87,2.12,1.6,1.62,1.57,1.99,3.04,3.0,1.97,2.09,2.11,2.51,2.81,3.3
299,BANCO SANTANDER CHILE,CLP1506A1070,,,,,,,0.52,0.82,0.85,0.9,0.69,1.25,1.76,1.71,1.78,1.17,1.2,1.11,1.52,2.43,2.46,1.64,1.77,1.7,1.57,1.85,2.13
300,COMPANIA CERVECERIAS UNIDAS,CLP249051044,3.05,5.31,4.46,3.0,3.11,5.16,5.94,6.35,7.87,9.41,8.58,11.34,16.44,21.78,26.67,18.07,16.43,18.94,21.29,27.68,27.63,18.47,18.6,19.5,20.32,15.61,16.08
301,CAP,CLP256251073,,0.6,0.6,0.6,0.6,0.67,2.51,4.17,4.77,8.96,4.35,11.13,18.12,15.86,14.07,5.54,1.01,0.88,4.16,5.87,5.12,2.79,5.92,6.56,6.17,5.18,3.92
302,BANCO DE CREDITO E INVERSION,CLP321331116,0.67,1.4,1.11,1.19,1.32,2.85,3.88,4.61,6.14,6.23,4.03,8.03,14.65,15.56,19.16,13.22,11.48,10.71,16.12,24.53,25.5,16.33,17.32,15.94,15.57,15.68,18.92
303,COLBUN MACHICURA,CLP3615W1037,,,,0.52,0.54,1.22,1.1,1.4,2.02,1.65,1.9,2.93,2.94,3.02,3.55,2.44,3.26,2.84,2.29,3.06,3.04,2.18,2.88,2.24,3.72,4.75,5.02
304,EMBOTELLADORA ANDINA SERIES B,CLP3697S1034,,,,,,,,,,,,0.51,0.75,0.79,1.16,0.64,0.52,0.53,0.71,0.97,0.8,0.56,0.61,0.52,0.79,0.81,1.19
305,ENEL GENERACION CHILE,CLP3710M1090,3.94,4.3,3.92,3.1,2.55,3.96,5.8,10.57,13.76,12.64,13.39,19.1,19.84,19.54,21.26,15.85,18.56,16.61,12.51,20.24,15.82,10.3,9.17,5.65,7.44,10.58,14.31
306,EMPRESA NACIONAL DE TELECOMUNICA,CLP371151059,,1.69,1.85,1.45,0.98,1.4,1.94,2.74,4.11,4.95,3.67,5.04,6.23,7.76,9.18,5.26,4.32,4.2,5.0,5.58,4.62,3.08,3.11,2.51,3.53,3.08,3.14
307,ENEL AMERICAS,CLP371861061,11.05,8.54,8.1,4.42,1.75,3.34,4.0,5.95,8.24,7.53,7.78,12.79,12.09,11.24,12.23,8.6,10.37,8.27,10.78,13.85,12.65,13.07,10.82,8.46,9.52,7.51,7.0
308,FALABELLA SACI,CLP3880F1085,,,,,,0.57,0.74,0.88,1.43,1.93,1.0,2.03,3.63,3.4,4.39,2.85,2.58,2.52,3.26,4.26,3.32,1.66,1.51,1.44,1.05,1.07,1.66
309,EMPRESAS COPEC,CLP7847L1080,1.13,3.03,2.24,2.63,2.69,5.96,6.34,7.25,11.49,15.94,7.2,14.84,15.92,14.97,14.87,11.22,11.24,8.38,10.7,18.08,15.22,9.85,11.95,9.41,9.61,8.26,8.9
310,QUINENCO,CLP7980K1070,,,,,,,,,,,,,0.76,0.64,0.78,0.53,0.53,0.53,0.73,0.89,0.79,0.5,0.54,0.85,1.44,1.62,1.99
311,VINA CONCHA Y TORO,CLP9796J1008,4.64,8.1,8.06,6.58,6.72,8.57,15.12,15.14,19.06,20.22,18.41,26.38,26.52,26.58,24.44,22.03,23.26,20.01,21.13,29.89,28.85,24.78,22.61,23.38,20.01,16.77,18.62
312,CHINA VANKE 'A',CNE0000000T2,93.52,150.83,215.67,182.7,149.68,235.58,271.51,356.53,1110.85,3404.05,1493.08,1991.79,1835.09,1825.57,2917.36,1878.25,3350.48,6254.23,5277.35,10801.93,7750.58,7434.35,8920.07,6875.15,6180.62,3173.71,2402.8
313,CHINA INTL.MAR.CTRS. (GP.) 'A',CNE000000644,42.48,48.31,73.42,68.45,60.59,84.13,167.22,127.03,333.89,426.15,159.34,330.29,607.27,363.34,382.44,447.33,530.86,363.22,414.78,589.56,315.69,271.81,526.87,566.46,409.46,440.52,437.21
314,SHAI.LJZ.FN&T.ZONE DEV. 'A',CNE0000009S5,22.64,29.13,35.71,28.23,31.02,26.89,16.51,16.35,37.07,55.14,48.92,62.16,49.58,36.26,37.99,58.58,111.94,119.9,119.69,118.29,77.26,79.69,81.25,86.88,84.5,65.08,70.84
315,GUANGDONG ELEC.PWR.DEV. 'B',CNE000000HW5,10.6,20.99,41.67,66.21,60.19,93.83,53.95,52.35,82.8,83.71,43.89,73.55,75.13,57.99,112.46,90.29,121.52,118.08,98.45,90.09,74.31,66.29,73.62,78.48,72.61,67.08,68.0
316,BENGANG STL.PLATES 'B',CNE000000RN3,4.72,8.16,11.85,18.95,20.71,25.52,20.57,21.54,40.41,55.74,23.26,31.32,34.97,22.2,29.73,23.57,28.53,25.92,28.32,33.85,21.22,18.44,13.97,30.36,25.58,23.12,23.04
317,SHAI.ZHENHUA HEAVY IND. 'B',CNE000000SJ9,54.73,70.75,144.86,276.01,246.73,412.7,477.93,952.22,2519.29,3513.71,1269.9,1667.78,1472.9,1006.1,931.33,951.72,1200.98,1114.87,1130.73,1296.15,982.51,848.63,751.3,801.98,775.62,585.55,718.87
318,INNER MONGOLIA YITAI COAL 'B',CNE000000SK7,22.57,26.5,78.55,192.18,154.16,206.82,220.7,365.22,658.03,3991.87,1765.81,4829.73,8372.45,6434.02,7489.3,4172.61,3941.38,2131.71,2885.01,4711.64,3618.08,2356.54,1646.27,3461.06,6129.35,8968.45,11330.33
319,YANTAI CHANGYU PION.WINE 'B',CNE000000T59,8.58,10.76,17.8,30.11,25.93,36.59,57.52,112.81,316.77,502.11,266.51,622.71,818.13,816.21,627.46,273.58,361.45,343.52,292.82,312.4,243.01,232.63,256.2,247.41,222.93,152.56,170.89
320,ZTE 'A',CNE000000TK5,23.17,27.61,36.32,35.84,24.56,47.54,61.4,71.76,97.65,180.49,110.14,204.1,199.78,146.88,109.38,136.83,186.69,167.59,169.8,353.82,233.58,394.11,380.55,368.98,316.42,241.62,450.77
321,CHINA EASTERN AIRL. 'A',CNE000000TR0,4.99,6.54,9.61,7.46,8.63,7.58,6.17,4.24,6.38,26.59,9.75,12.15,13.61,9.01,8.23,5.78,11.31,12.82,13.98,18.4,10.63,9.26,10.25,12.93,11.39,7.27,7.66
322,CHINA MERCHANTS BANK 'A',CNE000001B33,,,,,11.15,13.7,12.26,16.58,40.53,90.24,39.0,59.13,53.33,57.83,69.72,53.81,75.38,78.46,99.91,205.63,168.04,197.78,329.38,324.41,260.79,194.46,273.92
323,CHINA MOLYBDENUM 'H',CNE100000114,,,,,,,,,,10.72,3.7,8.01,9.63,5.37,6.04,4.88,7.57,5.3,11.65,30.2,16.43,15.79,29.66,22.08,26.54,24.84,33.87
324,SHANDONG WEIGAO GP MEDICAL POLYMER 'H',CNE100000171,,,,,,,15.96,48.2,198.31,260.12,266.69,545.16,779.81,600.13,613.37,746.38,503.22,422.82,437.65,473.24,583.26,870.98,1423.73,876.2,1253.15,484.58,497.35
325,CHINA CITIC BANK 'H',CNE1000001Q4,,,,,,,,,,8.87,5.49,10.77,10.44,10.77,12.26,8.83,14.4,11.1,13.44,17.92,14.92,12.76,11.86,13.53,15.17,17.15,26.9
326,AIR CHINA 'H',CNE1000001S0,,,,,,,11.13,10.29,21.87,29.06,8.15,28.03,33.5,26.37,28.54,22.1,31.72,22.11,24.76,54.45,35.77,30.88,26.56,28.16,33.01,20.42,22.62
327,ALUMINUM CORPORATION OF CHINA 'H',CNE1000001T8,,,,14.3,11.74,47.59,41.99,75.45,81.52,135.23,38.34,89.63,88.39,43.6,42.24,31.48,39.21,27.22,47.09,59.93,32.94,25.38,29.05,46.21,49.31,42.57,58.51
328,ANGANG STEEL 'H',CNE1000001V4,3.47,5.29,6.51,11.27,14.69,40.89,54.72,74.47,165.13,243.46,120.02,233.95,199.38,101.86,97.96,87.12,96.23,58.78,106.54,167.08,110.97,67.29,82.0,91.88,72.86,36.24,43.99
329,ANHUI CONCH CEMENT 'H',CNE1000001W2,5.31,4.82,5.23,16.96,26.66,96.94,74.69,107.93,249.73,452.78,343.8,449.64,707.93,771.34,916.49,904.49,783.9,477.23,816.93,1458.43,1429.27,1767.07,1716.61,1586.86,1242.46,710.14,990.55
330,ANHUI EXPRESSWAY 'H',CNE1000001X0,5.92,5.2,6.21,13.28,18.63,25.16,41.69,47.28,70.83,70.67,31.28,64.61,83.14,66.45,67.9,59.71,90.04,107.69,99.07,118.22,95.12,90.12,104.97,150.91,178.48,220.83,306.81
331,BANK OF CHINA 'H',CNE1000001Z5,,,,,,,,,14.47,12.43,7.86,15.42,18.26,15.81,19.4,17.43,24.35,17.68,22.28,30.89,25.2,22.78,21.35,26.27,28.08,29.87,45.82
332,BANK OF COMMS.'H',CNE100000205,,,,,,,,20.54,38.79,43.54,24.06,39.07,40.44,38.23,40.42,32.68,44.44,32.69,43.77,53.9,55.93,44.89,40.95,54.39,54.52,57.04,84.35
333,BEJ.CAPI.ARPT.'H',CNE100000221,,13.07,12.57,14.06,14.75,20.48,25.56,35.54,62.79,80.0,28.5,37.82,37.74,35.06,60.74,55.98,72.66,67.12,77.11,123.58,79.55,71.17,61.53,60.04,67.82,25.82,32.28
334,BYD 'H',CNE100000296,,,,,14.13,22.89,25.11,17.85,30.18,53.53,65.29,264.12,169.09,109.09,114.85,164.25,123.98,159.73,191.53,324.69,209.0,188.1,1193.7,1003.35,1180.42,784.56,1269.84
335,CHIN.COMMS.CNUT.GP. 'H',CNE1000002F5,,,,,,,,,18.35,39.89,15.6,15.28,13.35,16.2,17.47,13.15,19.58,16.44,23.77,23.76,21.36,15.16,10.62,14.05,13.36,12.35,19.14
336,CHINA CON.BANK 'H',CNE1000002H1,,,,,,,,16.87,25.17,33.34,22.45,36.46,44.69,42.81,47.7,40.75,49.76,38.7,52.12,84.36,69.04,63.13,65.46,70.52,64.1,64.38,98.6
337,COSCO SHIPPING HDG.'H',CNE1000002J7,,,,,,,,12.39,20.12,77.49,19.0,39.51,36.21,20.05,17.25,14.02,16.15,11.71,12.06,18.94,13.66,11.7,33.98,77.86,65.33,81.71,121.46
338,CHINA LIFE INSURANCE 'H',CNE1000002L3,,,,,,15.35,14.59,22.79,63.95,84.38,59.58,100.97,91.26,71.42,80.62,66.53,95.61,58.47,70.64,88.71,66.23,64.95,60.27,51.74,56.48,37.45,63.04
339,CHINA NATIONAL BUILDING MATERIAL 'H',CNE1000002N9,,,,,,,,,24.04,70.64,32.23,54.58,78.2,77.11,103.1,63.3,64.3,28.25,41.58,77.47,57.07,73.02,96.83,105.3,82.56,34.17,50.16
340,CHINA OILFIELD SVS.'H',CNE1000002P4,,,,,14.75,18.46,17.37,29.52,38.6,110.75,43.82,74.19,116.14,105.26,130.73,168.51,105.26,46.09,73.74,87.72,69.28,102.57,89.47,72.22,88.18,68.39,70.57
341,CHINA PTL.& CHM. 'H',CNE1000002Q2,,,9.41,10.2,13.61,29.72,31.63,50.86,69.98,97.46,46.95,72.68,106.17,121.66,124.53,112.45,115.3,84.84,126.28,148.72,151.75,103.82,104.25,123.11,147.37,152.93,172.33
342,CHINA SHENHUA EN.CO.'H',CNE1000002R0,,,,,,,,19.16,35.49,75.6,31.08,62.67,62.12,69.71,69.77,44.43,49.37,27.32,41.46,76.5,62.04,46.44,52.84,81.28,116.38,159.69,178.81
343,COSCO SHIP.EN.TRSP. 'H',CNE1000002S8,4.24,10.39,10.45,12.47,15.39,47.61,61.66,59.86,109.42,220.9,78.01,134.27,103.4,67.15,49.03,54.11,64.68,54.75,51.05,55.34,55.97,41.9,40.88,40.99,105.86,93.76,109.46
344,CHINA SOUTHERN AIRL.'H',CNE1000002T6,1.67,3.8,6.18,6.31,6.42,8.76,7.61,5.79,9.36,19.01,4.83,10.96,15.99,15.89,19.43,11.66,18.02,20.1,19.9,47.04,26.03,20.38,21.19,23.5,24.72,13.48,17.14
345,CHINA TELECOM 'H',CNE1000002V2,,,,,13.35,25.64,26.63,28.39,36.0,57.06,27.35,34.11,47.22,48.06,46.54,40.51,53.65,42.38,44.0,47.06,52.9,39.82,32.15,42.26,62.6,68.53,88.58
346,DGI.PWG.'H',CNE1000002Z3,7.92,5.16,9.49,12.49,12.96,27.86,29.37,30.86,43.95,59.16,43.42,42.04,33.75,32.85,44.42,42.56,59.45,30.2,33.2,42.77,36.32,24.58,20.72,31.24,29.34,25.91,29.63
347,DONGFANG ELECTRIC 'H',CNE100000304,1.57,2.88,2.1,5.09,6.2,18.73,28.49,58.43,120.4,280.51,107.12,217.04,390.81,278.63,180.2,131.18,197.35,76.61,98.02,93.46,74.33,51.02,109.8,148.01,196.58,104.96,135.06
348,DONGFENG MOTOR GP.'H',CNE100000312,,,,,,,,19.26,34.53,38.03,20.16,81.17,106.78,115.04,99.67,93.13,93.13,78.82,71.47,89.7,77.48,58.62,88.81,79.5,58.8,41.94,42.62
349,GUANGSHEN RAILWAY 'H',CNE100000379,3.46,4.13,5.62,7.3,8.11,13.42,19.69,20.02,33.69,35.79,18.14,23.86,25.01,22.72,28.5,28.96,34.39,29.72,45.27,48.34,30.9,21.16,14.47,14.19,14.3,15.38,21.87
350,HARBIN ELECTRIC 'H',CNE1000003C0,2.15,2.45,2.12,6.27,5.16,12.32,11.89,42.07,56.07,117.53,35.17,43.39,68.54,53.55,50.36,31.5,40.63,20.19,30.1,25.17,31.87,15.6,16.56,19.88,30.25,17.24,24.24
351,HUADIAN POWER INTERNATIONAL 'H',CNE1000003D8,,6.68,10.95,17.57,18.51,29.48,25.88,25.83,33.27,30.83,20.15,25.18,20.03,21.83,40.21,40.95,93.71,62.94,50.17,47.14,58.55,42.82,35.5,57.35,68.99,85.85,95.32
352,INDL&COML.BOC.'H',CNE1000003G1,,,,,,,,,16.45,18.59,12.43,22.38,24.3,23.87,26.64,23.18,28.32,21.08,27.25,44.5,37.99,35.23,34.91,35.58,33.46,33.55,52.05
353,JIANGSU EXPRESSWAY 'H',CNE1000003J5,6.84,4.89,6.3,9.02,14.29,21.5,20.75,32.13,35.9,50.26,37.6,52.06,64.53,62.57,68.15,87.79,89.35,94.05,101.61,129.74,126.59,118.6,113.86,108.23,110.05,113.51,139.81
354,JIANGXI COPPER 'H',CNE1000003K3,1.68,5.26,4.02,5.98,6.88,24.6,25.98,30.6,52.17,97.8,36.07,110.03,179.95,146.72,155.56,108.61,103.05,61.15,113.4,117.17,87.25,81.11,123.65,113.75,129.43,107.93,125.67
