NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AIR CHINA 'H',CNE1000001S0,,,,,,,1158.25,1071.09,3086.85,4062.78,1124.87,3868.44,4787.44,3706.01,3887.76,2973.48,4213.61,2917.04,3187.08,6895.29,4459.82,3788.63,3225.7,3419.03,4008.61,2479.68,2982.58
ALUMINUM CORPORATION OF CHINA 'H',CNE1000001T8,,,,546.47,444.21,2090.11,1808.6,3126.77,3804.03,6191.49,1729.16,4041.89,3986.29,1962.76,1901.44,1417.2,1765.16,1225.29,2119.54,2697.75,1482.71,1142.4,1307.64,2079.91,2192.67,1871.09,2485.06
ANGANG STEEL 'H',CNE1000001V4,43.64,64.06,78.74,125.52,154.04,397.75,493.5,631.05,1331.52,2083.35,996.9,1901.2,1609.23,807.74,776.82,690.83,757.65,458.6,831.21,1284.12,824.7,474.28,559.06,613.99,451.77,223.82,271.71
ANHUI CONCH CEMENT 'H',CNE1000001W2,29.35,25.98,28.24,88.86,136.53,587.77,449.87,639.45,1473.22,2655.81,2016.6,2621.35,4094.75,4431.81,5168.24,5038.14,4299.5,2552.66,4254.18,7427.32,7063.66,8373.69,7829.79,6853.65,4963.19,2625.75,3468.93
ANHUI EXPRESSWAY 'H',CNE1000001X0,44.53,38.65,46.15,94.18,126.41,168.02,273.37,303.49,433.84,416.07,176.74,337.68,415.99,319.72,304.42,252.72,358.0,411.4,360.89,412.24,315.4,281.17,305.93,417.51,447.6,513.18,664.3
BANK OF CHINA 'H',CNE1000001Z5,,,,,,,,,37391.74,31785.41,19507.66,36702.8,44031.84,36548.34,42040.16,35433.34,46270.07,32098.53,37827.01,49822.19,38470.74,32726.41,28588.5,32511.34,31882.14,31117.31,43031.71
BANK OF COMMS.'H',CNE100000205,,,,,,,,13380.39,24875.44,27599.82,14722.17,23251.11,25582.42,24112.26,29877.96,22771.98,29172.17,20541.09,25809.78,30126.25,29448.33,22356.29,19061.25,23450.71,21652.67,20863.55,27946.52
BEJ.CAPI.ARPT.'H',CNE100000221,,314.9,300.34,326.19,333.09,445.8,543.64,733.22,1470.46,1848.0,780.35,1035.6,1023.38,944.98,1598.94,1430.52,1805.88,1633.4,1835.92,2888.22,1791.49,1533.92,1282.6,1251.55,1413.9,538.33,672.88
BYD 'H',CNE100000296,,,,,257.79,410.49,441.8,306.44,517.99,910.79,1081.27,6106.15,3890.92,2510.3,2642.81,3779.41,3286.76,4234.66,5035.26,8499.07,5451.35,4882.57,35450.11,31192.51,36682.44,24262.38,38692.37
CHIN.COMMS.CNUT.GP. 'H',CNE1000002F5,,,,,,,,,5143.77,11175.44,4367.6,4229.62,3622.09,4281.21,4474.58,3227.52,4597.01,3791.2,5340.81,5224.86,4525.16,3095.0,2052.1,2562.6,2298.73,2017.1,2846.42
CHINA CON.BANK 'H',CNE1000002H1,,,,,,,,89071.75,132390.04,168584.95,108651.68,173568.72,213047.16,196517.02,207333.56,166896.96,191014.94,141358.82,178778.11,275108.31,214469.25,186012.83,182375.54,183857.81,154507.82,141727.35,194678.24
COSCO SHIPPING HDG.'H',CNE1000002J7,,,,,,,,1063.15,1669.99,6361.43,1547.38,3109.82,2850.23,1553.76,1337.29,1086.83,1251.5,907.74,934.55,1468.24,1058.96,906.96,2633.43,6035.07,3644.67,3453.08,4648.24
CHINA LIFE INSURANCE 'H',CNE1000002L3,,,,,,5167.75,4913.13,7674.4,21445.66,28154.29,19574.67,32860.48,29052.0,22353.38,24843.85,20317.55,28696.79,17309.78,20330.59,25259.28,18453.79,17913.72,15954.96,13004.36,13378.73,8516.31,13578.86
CHINA NATIONAL BUILDING MATERIAL 'H',CNE1000002N9,,,,,,,,,593.62,2084.89,949.2,2133.19,3638.51,3563.56,4631.9,2781.14,2748.02,1179.1,1714.28,3158.42,3086.32,3820.0,4856.25,5895.48,4248.74,1626.22,2199.37
CHINA OILFIELD SVS.'H',CNE1000002P4,,,,,427.99,528.03,487.03,811.27,1051.81,2992.2,1171.69,1950.39,3004.09,2683.32,3268.54,4851.83,2948.01,1236.95,1953.65,2304.02,1802.61,2639.35,2254.75,1768.49,2117.74,1607.29,1610.66
CHINA PTL.& CHM. 'H',CNE1000002Q2,,,2431.39,2495.64,3097.95,6474.28,6669.23,10329.77,13799.23,18853.4,8893.43,13373.15,18857.05,20834.2,20268.51,20307.27,19974.61,14084.11,20353.19,22736.13,21231.63,13367.98,12343.08,13356.7,13461.15,12718.41,13116.36
CHINA SHENHUA EN.CO.'H',CNE1000002R0,,,,,,,,4753.8,8728.25,17871.57,7231.11,14264.41,13858.07,15182.63,14610.71,8776.19,9271.05,4895.34,7226.94,11102.06,8506.3,6002.81,6182.16,8268.78,10465.36,12848.94,13457.89
COSCO SHIP.EN.TRSP. 'H',CNE1000002S8,83.62,204.89,206.06,245.92,294.09,866.71,1088.32,1035.88,1806.13,3573.76,1236.69,2049.0,1561.24,990.85,703.34,776.16,927.72,780.31,709.85,732.39,728.36,542.24,523.33,488.9,1262.56,1097.11,1227.39
CHINA SOUTHERN AIRL.'H',CNE1000002T6,95.46,217.32,353.81,361.3,365.05,498.33,432.79,329.23,532.42,1081.28,274.81,878.91,1281.63,1434.16,1639.3,964.71,1459.97,1618.22,1570.46,3997.79,2607.24,2020.19,2448.82,2715.35,3102.97,1692.48,2151.4
CHINA TELECOM 'H',CNE1000002V2,,,,,1554.03,2968.11,5204.08,5411.86,6683.62,10358.87,4885.33,5949.65,8055.79,8051.32,7602.83,6470.1,8358.84,6484.88,6563.68,6831.0,7445.47,5431.06,4171.46,5235.11,6883.55,7080.57,8601.56
DGI.PWG.'H',CNE1000002Z3,339.69,216.98,399.0,504.42,495.23,1030.37,1054.67,1069.74,1552.71,2210.05,1603.34,1502.63,1175.28,1111.45,1436.11,1323.82,1761.94,859.84,858.9,1106.44,1650.91,1054.13,827.75,1144.74,1075.27,929.86,1058.62
DONGFANG ELECTRIC 'H',CNE100000304,6.8,11.36,8.28,20.05,24.41,73.79,112.24,226.83,452.93,1048.76,396.78,803.25,1440.97,1021.36,653.04,470.3,694.63,267.57,338.27,322.55,256.51,171.58,352.22,458.08,593.09,305.65,376.1
DONGFENG MOTOR GP.'H',CNE100000312,,,,,,,,957.2,1715.56,1871.63,979.54,3911.99,5090.59,5397.56,4594.2,4214.99,4147.41,3427.84,3017.9,3640.22,2991.51,2128.62,2987.87,2510.03,1731.51,1002.06,978.65
